topic_id,documents,median_relative_contribution,median_relative_margin,margin_below_005_fraction
114,305,0.22051218,0.031438284,0.69508195
115,342,0.24299183,0.047425546,0.51754385
116,458,0.254548,0.059712764,0.43886462
117,425,0.24658796,0.052378077,0.48
118,358,0.2776895,0.050617155,0.49720672
119,495,0.77201444,0.6679387,0.060606062
120,522,0.32174572,0.09455153,0.3505747
121,329,0.2023544,0.027926499,0.69908816
122,373,0.25526053,0.04293688,0.5522788
123,360,0.22418916,0.032929786,0.65
124,333,0.23231056,0.0422982,0.5765766
125,448,0.29362595,0.0662874,0.39732143
126,277,0.2823102,0.040972818,0.54151624
127,465,0.3233276,0.13931078,0.18924731
128,183,0.23194803,0.04766561,0.5355191
129,385,0.20766799,0.027709138,0.74025977
130,420,0.22590026,0.033665713,0.6142857
131,160,0.24688604,0.035138376,0.60625
132,402,0.25290498,0.048243694,0.51492536
133,223,0.19438028,0.025371512,0.7219731
134,297,0.2118821,0.03356734,0.67676765
135,164,0.24019262,0.032150112,0.6280488
136,318,0.272962,0.057851765,0.44339624
137,365,0.26733047,0.04469537,0.5260274
138,434,0.21219641,0.042336553,0.5875576
139,41,0.25056142,0.05502121,0.41463414
140,396,0.27752912,0.060633026,0.42424244
141,270,0.30937758,0.08704665,0.34074074
142,401,0.24449404,0.060259294,0.4289277
143,95,0.24596627,0.072825395,0.33684212
144,346,0.25883335,0.085765146,0.2803468
145,400,0.3623037,0.16369936,0.09
146,462,0.23598036,0.054811344,0.45670995
147,325,0.22767378,0.038818974,0.59076923
148,365,0.22653218,0.036977924,0.6082192
149,217,0.3073484,0.09735905,0.26728112
150,151,0.27594835,0.065186135,0.397351
151,232,0.18963802,0.02528042,0.7758621
152,171,0.23245695,0.027032316,0.64912283
153,383,0.24548867,0.042821128,0.5561358
154,427,0.25353676,0.045208327,0.53629977
155,456,0.2941184,0.099171944,0.21271929
156,314,0.28178042,0.06510922,0.42356688
157,49,0.24019447,0.08718425,0.3265306
158,149,0.23182142,0.06316233,0.37583894
159,399,0.20139755,0.039559744,0.63408524
160,371,0.22939229,0.040839233,0.574124
161,498,0.30386752,0.08100943,0.36144578
162,335,0.2752592,0.052964598,0.46865672
